UniProt	GeneSym
P29033	GJB2
Q8N144	GJD3
O95377	GJB5
O14625	CXCL11
P49682	CXCR3
Q7LFL8	CXXC5
Q9P0U4	CXXC1
P13498	CYBA
O43169	CYB5B
P99999	CYCS
Q9NQC7	CYLD
Q5TYM5	FAM72A
H0Y354	FAM72C
Q86UY5	FAM83A
Q5TA50	CPTP
Q9UNU6	CYP8B1
P33261	CYP2C19
P11509	CYP2A6
O14810	CPLX1
Q8N436	CPXM2
Q8IZJ3	CPAMD8
Q9Y4K1	CRYBG1
Q9Y262	EIF3L
Q6WN34	CHRDL2
Q96D31	ORAI1
Q8TCG5	CPT1C
P23508	MCC
Q9UGL9	CRCT1
Q8IUH2	CREG2
Q494W8	CHRFAM7A
P02741	CRP
Q9H336	CRISPLD1
Q5TZA2	CROCC
Q5IJ48	CRB2
Q9BUF7	CRB3
O43186	CRX
O60716	CTNND1
Q9UQB3	CTNND2
Q9UBT7	CTNNAL1
Q8N4M1	SLC44A3
Q8WY07	SLC7A3
Q05D32	CTDSPL2
Q8NEC5	CATSPER1
Q86XQ3	CATSPER3
Q99895	CTRC
Q9H7T0	CATSPERB
Q86XM0	CATSPERD
P61568	ERVK11-1
Q9NX77	ERVK13-1
O71037	ERVK-19
P61570	ERVK-25
Q9HDB8	ERVK-5
Q9UKH3	ERVK-9
Q7Z7A3	CTU1
Q03111	MLLT1
P0C2S0	CTXN2
Q6XXX2	LINC00114
A6NIU2	LINC01549
A6NM66	LINC01548
Q9NYP8	C21orf62
Q9H467	CUEDC2
Q93034	CUL5
O00574	CXCR6
Q07325	CXCL9
Q9UKL4	GJD2
P25024	CXCR1
Q8NBI2	CYB561A3
Q49AR2	C5orf22
P06493	CDK1
Q96MH7	C5orf34
Q15517	CDSN
Q92903	CDS1
Q9C0D2	CEP295
P19835	CEL
Q03188	CENPC
Q6IPU0	CENPP
Q92879	CELF1
Q9H3R5	CENPH
Q68CQ4	DIEXF
P49450	CENPA
Q9BZC1	CELF4
Q9Y592	CEP83
Q71F23	CENPU
Q6ZMG9	CERS6
Q5T699	C6orf183
Q96MT4	LINC01600
Q6ZU64	CFAP65
Q5JQF7	LINC01556
P11597	CETP
P57076	CFAP298
Q9P2B7	CFAP97
Q9H8W2	LINC00472
Q0VF96	CGNL1
Q9UL16	CFAP45
P36222	CHI3L1
Q8WYQ3	CHCHD10
Q9BQ75	CMSS1
Q8N1G2	CMTR1
Q86XI2	NCAPG2
Q8N3K9	CMYA5
Q96KN2	CNDP1
Q86U02	LINC00596
Q16281	CNGA3
Q8WXI2	CNKSR2
Q8NE01	CNNM3
Q9H9A5	CNOT10
Q99439	CNN2
Q15417	CNN3
Q96LI5	CNOT6L
A5YKK6	CNOT1
